民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,方向,對象地區,人數
109,7,27,雙溪區,,,,無年齡維度,0.0,女,遷入,臺南市,0
109,7,27,雙溪區,,,,無年齡維度,0.0,男,遷入,臺南市,0
109,7,27,雙溪區,,,,無年齡維度,0.0,女,遷入,臺灣省,8
109,7,27,雙溪區,,,,無年齡維度,0.0,男,遷入,臺灣省,2
109,7,27,雙溪區,,,,無年齡維度,0.0,女,遷入,高雄市,1
109,7,27,雙溪區,,,,無年齡維度,0.0,男,遷入,高雄市,1
109,7,27,雙溪區,,,,無年齡維度,0.0,女,遷出,migrants,8
109,7,27,雙溪區,,,,無年齡維度,0.0,男,遷出,migrants,9
109,7,27,雙溪區,,,,無年齡維度,0.0,女,遷出,other,0
109,7,27,雙溪區,,,,無年齡維度,0.0,男,遷出,other,0
109,7,27,雙溪區,,,,無年齡維度,0.0,女,遷出,其他縣市,0
109,7,27,雙溪區,,,,無年齡維度,0.0,男,遷出,其他縣市,0
109,7,27,雙溪區,,,,無年齡維度,0.0,女,遷出,其他鄉鎮,18
109,7,27,雙溪區,,,,無年齡維度,0.0,男,遷出,其他鄉鎮,11
109,7,27,雙溪區,,,,無年齡維度,0.0,女,遷出,合計,38
109,7,27,雙溪區,,,,無年齡維度,0.0,男,遷出,合計,20
109,7,27,雙溪區,,,,無年齡維度,0.0,女,遷出,國外,2
109,7,27,雙溪區,,,,無年齡維度,0.0,男,遷出,國外,0
109,7,27,雙溪區,,,,無年齡維度,0.0,女,遷出,新北市內,0
109,7,27,雙溪區,,,,無年齡維度,0.0,男,遷出,新北市內,0
109,7,27,雙溪區,,,,無年齡維度,0.0,女,遷出,桃園市,0
109,7,27,雙溪區,,,,無年齡維度,0.0,男,遷出,桃園市,0
109,7,27,雙溪區,,,,無年齡維度,0.0,女,遷出,福建省,1
109,7,27,雙溪區,,,,無年齡維度,0.0,男,遷出,福建省,1
109,7,27,雙溪區,,,,無年齡維度,0.0,女,遷出,臺中市,2
109,7,27,雙溪區,,,,無年齡維度,0.0,男,遷出,臺中市,0
109,7,27,雙溪區,,,,無年齡維度,0.0,女,遷出,臺北市,4
109,7,27,雙溪區,,,,無年齡維度,0.0,男,遷出,臺北市,2
109,7,27,雙溪區,,,,無年齡維度,0.0,女,遷出,臺南市,0
109,7,27,雙溪區,,,,無年齡維度,0.0,男,遷出,臺南市,0
109,7,27,雙溪區,,,,無年齡維度,0.0,女,遷出,臺灣省,11
109,7,27,雙溪區,,,,無年齡維度,0.0,男,遷出,臺灣省,6
109,7,27,雙溪區,,,,無年齡維度,0.0,女,遷出,高雄市,0
109,7,27,雙溪區,,,,無年齡維度,0.0,男,遷出,高雄市,0
109,8,27,雙溪區,,,,無年齡維度,0.0,女,遷入,migrants,27
109,8,27,雙溪區,,,,無年齡維度,0.0,男,遷入,migrants,26
109,8,27,雙溪區,,,,無年齡維度,0.0,女,遷入,other,0
109,8,27,雙溪區,,,,無年齡維度,0.0,男,遷入,other,0
109,8,27,雙溪區,,,,無年齡維度,0.0,女,遷入,其他縣市,0
109,8,27,雙溪區,,,,無年齡維度,0.0,男,遷入,其他縣市,0
109,8,27,雙溪區,,,,無年齡維度,0.0,女,遷入,其他鄉鎮,10
109,8,27,雙溪區,,,,無年齡維度,0.0,男,遷入,其他鄉鎮,6
109,8,27,雙溪區,,,,無年齡維度,0.0,女,遷入,合計,25
109,8,27,雙溪區,,,,無年齡維度,0.0,男,遷入,合計,8
109,8,27,雙溪區,,,,無年齡維度,0.0,女,遷入,國外,0
109,8,27,雙溪區,,,,無年齡維度,0.0,男,遷入,國外,0
109,8,27,雙溪區,,,,無年齡維度,0.0,女,遷入,新北市內,0
109,8,27,雙溪區,,,,無年齡維度,0.0,男,遷入,新北市內,0
109,8,27,雙溪區,,,,無年齡維度,0.0,女,遷入,桃園市,0
109,8,27,雙溪區,,,,無年齡維度,0.0,男,遷入,桃園市,1
109,8,27,雙溪區,,,,無年齡維度,0.0,女,遷入,福建省,0
109,8,27,雙溪區,,,,無年齡維度,0.0,男,遷入,福建省,0
109,8,27,雙溪區,,,,無年齡維度,0.0,女,遷入,臺中市,2
109,8,27,雙溪區,,,,無年齡維度,0.0,男,遷入,臺中市,1
109,8,27,雙溪區,,,,無年齡維度,0.0,女,遷入,臺北市,0
109,8,27,雙溪區,,,,無年齡維度,0.0,男,遷入,臺北市,0
109,8,27,雙溪區,,,,無年齡維度,0.0,女,遷入,臺南市,0
109,8,27,雙溪區,,,,無年齡維度,0.0,男,遷入,臺南市,0
109,8,27,雙溪區,,,,無年齡維度,0.0,女,遷入,臺灣省,12
109,8,27,雙溪區,,,,無年齡維度,0.0,男,遷入,臺灣省,0
109,8,27,雙溪區,,,,無年齡維度,0.0,女,遷入,高雄市,1
109,8,27,雙溪區,,,,無年齡維度,0.0,男,遷入,高雄市,0
109,8,27,雙溪區,,,,無年齡維度,0.0,女,遷出,migrants,27
109,8,27,雙溪區,,,,無年齡維度,0.0,男,遷出,migrants,26
109,8,27,雙溪區,,,,無年齡維度,0.0,女,遷出,other,0
109,8,27,雙溪區,,,,無年齡維度,0.0,男,遷出,other,0
109,8,27,雙溪區,,,,無年齡維度,0.0,女,遷出,其他縣市,0
109,8,27,雙溪區,,,,無年齡維度,0.0,男,遷出,其他縣市,0
109,8,27,雙溪區,,,,無年齡維度,0.0,女,遷出,其他鄉鎮,4
109,8,27,雙溪區,,,,無年齡維度,0.0,男,遷出,其他鄉鎮,12
109,8,27,雙溪區,,,,無年齡維度,0.0,女,遷出,合計,20
109,8,27,雙溪區,,,,無年齡維度,0.0,男,遷出,合計,25
109,8,27,雙溪區,,,,無年齡維度,0.0,女,遷出,國外,3
109,8,27,雙溪區,,,,無年齡維度,0.0,男,遷出,國外,4
109,8,27,雙溪區,,,,無年齡維度,0.0,女,遷出,新北市內,0
109,8,27,雙溪區,,,,無年齡維度,0.0,男,遷出,新北市內,0
109,8,27,雙溪區,,,,無年齡維度,0.0,女,遷出,桃園市,3
109,8,27,雙溪區,,,,無年齡維度,0.0,男,遷出,桃園市,0
109,8,27,雙溪區,,,,無年齡維度,0.0,女,遷出,福建省,0
109,8,27,雙溪區,,,,無年齡維度,0.0,男,遷出,福建省,0
109,8,27,雙溪區,,,,無年齡維度,0.0,女,遷出,臺中市,0
109,8,27,雙溪區,,,,無年齡維度,0.0,男,遷出,臺中市,1
109,8,27,雙溪區,,,,無年齡維度,0.0,女,遷出,臺北市,5
109,8,27,雙溪區,,,,無年齡維度,0.0,男,遷出,臺北市,2
109,8,27,雙溪區,,,,無年齡維度,0.0,女,遷出,臺南市,0
109,8,27,雙溪區,,,,無年齡維度,0.0,男,遷出,臺南市,2
109,8,27,雙溪區,,,,無年齡維度,0.0,女,遷出,臺灣省,4
109,8,27,雙溪區,,,,無年齡維度,0.0,男,遷出,臺灣省,4
109,8,27,雙溪區,,,,無年齡維度,0.0,女,遷出,高雄市,1
109,8,27,雙溪區,,,,無年齡維度,0.0,男,遷出,高雄市,0
109,9,27,雙溪區,,,,無年齡維度,0.0,女,遷入,migrants,22
109,9,27,雙溪區,,,,無年齡維度,0.0,男,遷入,migrants,17
109,9,27,雙溪區,,,,無年齡維度,0.0,女,遷入,other,0
109,9,27,雙溪區,,,,無年齡維度,0.0,男,遷入,other,0
109,9,27,雙溪區,,,,無年齡維度,0.0,女,遷入,其他縣市,0
109,9,27,雙溪區,,,,無年齡維度,0.0,男,遷入,其他縣市,0
109,9,27,雙溪區,,,,無年齡維度,0.0,女,遷入,其他鄉鎮,11
109,9,27,雙溪區,,,,無年齡維度,0.0,男,遷入,其他鄉鎮,8
109,9,27,雙溪區,,,,無年齡維度,0.0,女,遷入,合計,24
109,9,27,雙溪區,,,,無年齡維度,0.0,男,遷入,合計,17
109,9,27,雙溪區,,,,無年齡維度,0.0,女,遷入,國外,1
109,9,27,雙溪區,,,,無年齡維度,0.0,男,遷入,國外,0
109,9,27,雙溪區,,,,無年齡維度,0.0,女,遷入,新北市內,0
109,9,27,雙溪區,,,,無年齡維度,0.0,男,遷入,新北市內,0
109,9,27,雙溪區,,,,無年齡維度,0.0,女,遷入,桃園市,3
109,9,27,雙溪區,,,,無年齡維度,0.0,男,遷入,桃園市,2
109,9,27,雙溪區,,,,無年齡維度,0.0,女,遷入,福建省,0
109,9,27,雙溪區,,,,無年齡維度,0.0,男,遷入,福建省,0
109,9,27,雙溪區,,,,無年齡維度,0.0,女,遷入,臺中市,0
109,9,27,雙溪區,,,,無年齡維度,0.0,男,遷入,臺中市,1
109,9,27,雙溪區,,,,無年齡維度,0.0,女,遷入,臺北市,4
109,9,27,雙溪區,,,,無年齡維度,0.0,男,遷入,臺北市,4
109,9,27,雙溪區,,,,無年齡維度,0.0,女,遷入,臺南市,0
109,9,27,雙溪區,,,,無年齡維度,0.0,男,遷入,臺南市,0
109,9,27,雙溪區,,,,無年齡維度,0.0,女,遷入,臺灣省,4
109,9,27,雙溪區,,,,無年齡維度,0.0,男,遷入,臺灣省,2
109,9,27,雙溪區,,,,無年齡維度,0.0,女,遷入,高雄市,1
109,9,27,雙溪區,,,,無年齡維度,0.0,男,遷入,高雄市,0
109,9,27,雙溪區,,,,無年齡維度,0.0,女,遷出,migrants,22
109,9,27,雙溪區,,,,無年齡維度,0.0,男,遷出,migrants,17
109,9,27,雙溪區,,,,無年齡維度,0.0,女,遷出,other,0
109,9,27,雙溪區,,,,無年齡維度,0.0,男,遷出,other,0
109,9,27,雙溪區,,,,無年齡維度,0.0,女,遷出,其他縣市,0
109,9,27,雙溪區,,,,無年齡維度,0.0,男,遷出,其他縣市,0
109,9,27,雙溪區,,,,無年齡維度,0.0,女,遷出,其他鄉鎮,14
109,9,27,雙溪區,,,,無年齡維度,0.0,男,遷出,其他鄉鎮,2
109,9,27,雙溪區,,,,無年齡維度,0.0,女,遷出,合計,37
109,9,27,雙溪區,,,,無年齡維度,0.0,男,遷出,合計,20
109,9,27,雙溪區,,,,無年齡維度,0.0,女,遷出,國外,10
109,9,27,雙溪區,,,,無年齡維度,0.0,男,遷出,國外,1
109,9,27,雙溪區,,,,無年齡維度,0.0,女,遷出,新北市內,0
109,9,27,雙溪區,,,,無年齡維度,0.0,男,遷出,新北市內,0
109,9,27,雙溪區,,,,無年齡維度,0.0,女,遷出,桃園市,3
109,9,27,雙溪區,,,,無年齡維度,0.0,男,遷出,桃園市,3
109,9,27,雙溪區,,,,無年齡維度,0.0,女,遷出,福建省,0
109,9,27,雙溪區,,,,無年齡維度,0.0,男,遷出,福建省,0
109,9,27,雙溪區,,,,無年齡維度,0.0,女,遷出,臺中市,0
109,9,27,雙溪區,,,,無年齡維度,0.0,男,遷出,臺中市,2
109,9,27,雙溪區,,,,無年齡維度,0.0,女,遷出,臺北市,2
109,9,27,雙溪區,,,,無年齡維度,0.0,男,遷出,臺北市,2
109,9,27,雙溪區,,,,無年齡維度,0.0,女,遷出,臺南市,0
109,9,27,雙溪區,,,,無年齡維度,0.0,男,遷出,臺南市,0
109,9,27,雙溪區,,,,無年齡維度,0.0,女,遷出,臺灣省,8
109,9,27,雙溪區,,,,無年齡維度,0.0,男,遷出,臺灣省,10
109,9,27,雙溪區,,,,無年齡維度,0.0,女,遷出,高雄市,0
109,9,27,雙溪區,,,,無年齡維度,0.0,男,遷出,高雄市,0
109,10,27,雙溪區,,,,無年齡維度,0.0,女,遷入,migrants,13
109,10,27,雙溪區,,,,無年齡維度,0.0,男,遷入,migrants,6
109,10,27,雙溪區,,,,無年齡維度,0.0,女,遷入,other,0
109,10,27,雙溪區,,,,無年齡維度,0.0,男,遷入,other,0
109,10,27,雙溪區,,,,無年齡維度,0.0,女,遷入,其他縣市,0
109,10,27,雙溪區,,,,無年齡維度,0.0,男,遷入,其他縣市,0
109,10,27,雙溪區,,,,無年齡維度,0.0,女,遷入,其他鄉鎮,6
109,10,27,雙溪區,,,,無年齡維度,0.0,男,遷入,其他鄉鎮,8
109,10,27,雙溪區,,,,無年齡維度,0.0,女,遷入,合計,16
109,10,27,雙溪區,,,,無年齡維度,0.0,男,遷入,合計,16
109,10,27,雙溪區,,,,無年齡維度,0.0,女,遷入,國外,0
109,10,27,雙溪區,,,,無年齡維度,0.0,男,遷入,國外,1
109,10,27,雙溪區,,,,無年齡維度,0.0,女,遷入,新北市內,0
109,10,27,雙溪區,,,,無年齡維度,0.0,男,遷入,新北市內,0
109,10,27,雙溪區,,,,無年齡維度,0.0,女,遷入,桃園市,0
109,10,27,雙溪區,,,,無年齡維度,0.0,男,遷入,桃園市,1
109,10,27,雙溪區,,,,無年齡維度,0.0,女,遷入,福建省,0
109,10,27,雙溪區,,,,無年齡維度,0.0,男,遷入,福建省,0
109,10,27,雙溪區,,,,無年齡維度,0.0,女,遷入,臺中市,0
109,10,27,雙溪區,,,,無年齡維度,0.0,男,遷入,臺中市,0
109,10,27,雙溪區,,,,無年齡維度,0.0,女,遷入,臺北市,5
109,10,27,雙溪區,,,,無年齡維度,0.0,男,遷入,臺北市,2
109,10,27,雙溪區,,,,無年齡維度,0.0,女,遷入,臺南市,2
109,10,27,雙溪區,,,,無年齡維度,0.0,男,遷入,臺南市,0
109,10,27,雙溪區,,,,無年齡維度,0.0,女,遷入,臺灣省,2
109,10,27,雙溪區,,,,無年齡維度,0.0,男,遷入,臺灣省,4
109,10,27,雙溪區,,,,無年齡維度,0.0,女,遷入,高雄市,1
109,10,27,雙溪區,,,,無年齡維度,0.0,男,遷入,高雄市,0
109,10,27,雙溪區,,,,無年齡維度,0.0,女,遷出,migrants,13
109,10,27,雙溪區,,,,無年齡維度,0.0,男,遷出,migrants,6
109,10,27,雙溪區,,,,無年齡維度,0.0,女,遷出,other,0
109,10,27,雙溪區,,,,無年齡維度,0.0,男,遷出,other,0
109,10,27,雙溪區,,,,無年齡維度,0.0,女,遷出,其他縣市,0
109,10,27,雙溪區,,,,無年齡維度,0.0,男,遷出,其他縣市,0
109,10,27,雙溪區,,,,無年齡維度,0.0,女,遷出,其他鄉鎮,13
109,10,27,雙溪區,,,,無年齡維度,0.0,男,遷出,其他鄉鎮,4
109,10,27,雙溪區,,,,無年齡維度,0.0,女,遷出,合計,31
109,10,27,雙溪區,,,,無年齡維度,0.0,男,遷出,合計,15
109,10,27,雙溪區,,,,無年齡維度,0.0,女,遷出,國外,1
109,10,27,雙溪區,,,,無年齡維度,0.0,男,遷出,國外,0
109,10,27,雙溪區,,,,無年齡維度,0.0,女,遷出,新北市內,0
109,10,27,雙溪區,,,,無年齡維度,0.0,男,遷出,新北市內,0
109,10,27,雙溪區,,,,無年齡維度,0.0,女,遷出,桃園市,3
109,10,27,雙溪區,,,,無年齡維度,0.0,男,遷出,桃園市,1
109,10,27,雙溪區,,,,無年齡維度,0.0,女,遷出,福建省,0
109,10,27,雙溪區,,,,無年齡維度,0.0,男,遷出,福建省,0
109,10,27,雙溪區,,,,無年齡維度,0.0,女,遷出,臺中市,2
109,10,27,雙溪區,,,,無年齡維度,0.0,男,遷出,臺中市,1
109,10,27,雙溪區,,,,無年齡維度,0.0,女,遷出,臺北市,7
109,10,27,雙溪區,,,,無年齡維度,0.0,男,遷出,臺北市,3
109,10,27,雙溪區,,,,無年齡維度,0.0,女,遷出,臺南市,0
109,10,27,雙溪區,,,,無年齡維度,0.0,男,遷出,臺南市,0
109,10,27,雙溪區,,,,無年齡維度,0.0,女,遷出,臺灣省,5
109,10,27,雙溪區,,,,無年齡維度,0.0,男,遷出,臺灣省,5
109,10,27,雙溪區,,,,無年齡維度,0.0,女,遷出,高雄市,0
109,10,27,雙溪區,,,,無年齡維度,0.0,男,遷出,高雄市,1
109,11,27,雙溪區,,,,無年齡維度,0.0,女,遷入,migrants,9
109,11,27,雙溪區,,,,無年齡維度,0.0,男,遷入,migrants,10
109,11,27,雙溪區,,,,無年齡維度,0.0,女,遷入,other,0
109,11,27,雙溪區,,,,無年齡維度,0.0,男,遷入,other,0
109,11,27,雙溪區,,,,無年齡維度,0.0,女,遷入,其他縣市,0
109,11,27,雙溪區,,,,無年齡維度,0.0,男,遷入,其他縣市,0
109,11,27,雙溪區,,,,無年齡維度,0.0,女,遷入,其他鄉鎮,5
109,11,27,雙溪區,,,,無年齡維度,0.0,男,遷入,其他鄉鎮,4
109,11,27,雙溪區,,,,無年齡維度,0.0,女,遷入,合計,15
109,11,27,雙溪區,,,,無年齡維度,0.0,男,遷入,合計,6
109,11,27,雙溪區,,,,無年齡維度,0.0,女,遷入,國外,0
109,11,27,雙溪區,,,,無年齡維度,0.0,男,遷入,國外,0
109,11,27,雙溪區,,,,無年齡維度,0.0,女,遷入,新北市內,0
109,11,27,雙溪區,,,,無年齡維度,0.0,男,遷入,新北市內,0
109,11,27,雙溪區,,,,無年齡維度,0.0,女,遷入,桃園市,1
109,11,27,雙溪區,,,,無年齡維度,0.0,男,遷入,桃園市,0
109,11,27,雙溪區,,,,無年齡維度,0.0,女,遷入,福建省,0
109,11,27,雙溪區,,,,無年齡維度,0.0,男,遷入,福建省,0
109,11,27,雙溪區,,,,無年齡維度,0.0,女,遷入,臺中市,0
109,11,27,雙溪區,,,,無年齡維度,0.0,男,遷入,臺中市,0
109,11,27,雙溪區,,,,無年齡維度,0.0,女,遷入,臺北市,2
109,11,27,雙溪區,,,,無年齡維度,0.0,男,遷入,臺北市,1
109,11,27,雙溪區,,,,無年齡維度,0.0,女,遷入,臺南市,0
109,11,27,雙溪區,,,,無年齡維度,0.0,男,遷入,臺南市,0
109,11,27,雙溪區,,,,無年齡維度,0.0,女,遷入,臺灣省,7
109,11,27,雙溪區,,,,無年齡維度,0.0,男,遷入,臺灣省,1
109,11,27,雙溪區,,,,無年齡維度,0.0,女,遷入,高雄市,0
109,11,27,雙溪區,,,,無年齡維度,0.0,男,遷入,高雄市,0
109,11,27,雙溪區,,,,無年齡維度,0.0,女,遷出,migrants,9
109,11,27,雙溪區,,,,無年齡維度,0.0,男,遷出,migrants,10
109,11,27,雙溪區,,,,無年齡維度,0.0,女,遷出,other,0
109,11,27,雙溪區,,,,無年齡維度,0.0,男,遷出,other,0
109,11,27,雙溪區,,,,無年齡維度,0.0,女,遷出,其他縣市,0
109,11,27,雙溪區,,,,無年齡維度,0.0,男,遷出,其他縣市,0
109,11,27,雙溪區,,,,無年齡維度,0.0,女,遷出,其他鄉鎮,6
109,11,27,雙溪區,,,,無年齡維度,0.0,男,遷出,其他鄉鎮,2
109,11,27,雙溪區,,,,無年齡維度,0.0,女,遷出,合計,20
109,11,27,雙溪區,,,,無年齡維度,0.0,男,遷出,合計,11
109,11,27,雙溪區,,,,無年齡維度,0.0,女,遷出,國外,4
109,11,27,雙溪區,,,,無年齡維度,0.0,男,遷出,國外,1
109,11,27,雙溪區,,,,無年齡維度,0.0,女,遷出,新北市內,0
109,11,27,雙溪區,,,,無年齡維度,0.0,男,遷出,新北市內,0
109,11,27,雙溪區,,,,無年齡維度,0.0,女,遷出,桃園市,1
109,11,27,雙溪區,,,,無年齡維度,0.0,男,遷出,桃園市,3
109,11,27,雙溪區,,,,無年齡維度,0.0,女,遷出,福建省,0
109,11,27,雙溪區,,,,無年齡維度,0.0,男,遷出,福建省,0
109,11,27,雙溪區,,,,無年齡維度,0.0,女,遷出,臺中市,1
109,11,27,雙溪區,,,,無年齡維度,0.0,男,遷出,臺中市,1
109,11,27,雙溪區,,,,無年齡維度,0.0,女,遷出,臺北市,0
109,11,27,雙溪區,,,,無年齡維度,0.0,男,遷出,臺北市,0
109,11,27,雙溪區,,,,無年齡維度,0.0,女,遷出,臺南市,0
109,11,27,雙溪區,,,,無年齡維度,0.0,男,遷出,臺南市,0
109,11,27,雙溪區,,,,無年齡維度,0.0,女,遷出,臺灣省,8
109,11,27,雙溪區,,,,無年齡維度,0.0,男,遷出,臺灣省,3
109,11,27,雙溪區,,,,無年齡維度,0.0,女,遷出,高雄市,0
109,11,27,雙溪區,,,,無年齡維度,0.0,男,遷出,高雄市,1
109,12,27,雙溪區,,,,無年齡維度,0.0,女,遷入,migrants,7
109,12,27,雙溪區,,,,無年齡維度,0.0,男,遷入,migrants,6
109,12,27,雙溪區,,,,無年齡維度,0.0,女,遷入,other,0
109,12,27,雙溪區,,,,無年齡維度,0.0,男,遷入,other,0
109,12,27,雙溪區,,,,無年齡維度,0.0,女,遷入,其他縣市,0
109,12,27,雙溪區,,,,無年齡維度,0.0,男,遷入,其他縣市,0
109,12,27,雙溪區,,,,無年齡維度,0.0,女,遷入,其他鄉鎮,11
109,12,27,雙溪區,,,,無年齡維度,0.0,男,遷入,其他鄉鎮,6
109,12,27,雙溪區,,,,無年齡維度,0.0,女,遷入,合計,20
109,12,27,雙溪區,,,,無年齡維度,0.0,男,遷入,合計,16
109,12,27,雙溪區,,,,無年齡維度,0.0,女,遷入,國外,0
109,12,27,雙溪區,,,,無年齡維度,0.0,男,遷入,國外,1
109,12,27,雙溪區,,,,無年齡維度,0.0,女,遷入,新北市內,0
109,12,27,雙溪區,,,,無年齡維度,0.0,男,遷入,新北市內,0
109,12,27,雙溪區,,,,無年齡維度,0.0,女,遷入,桃園市,1
109,12,27,雙溪區,,,,無年齡維度,0.0,男,遷入,桃園市,2
109,12,27,雙溪區,,,,無年齡維度,0.0,女,遷入,福建省,0
109,12,27,雙溪區,,,,無年齡維度,0.0,男,遷入,福建省,0
109,12,27,雙溪區,,,,無年齡維度,0.0,女,遷入,臺中市,1
109,12,27,雙溪區,,,,無年齡維度,0.0,男,遷入,臺中市,0
109,12,27,雙溪區,,,,無年齡維度,0.0,女,遷入,臺北市,2
109,12,27,雙溪區,,,,無年齡維度,0.0,男,遷入,臺北市,2
109,12,27,雙溪區,,,,無年齡維度,0.0,女,遷入,臺南市,0
109,12,27,雙溪區,,,,無年齡維度,0.0,男,遷入,臺南市,0
109,12,27,雙溪區,,,,無年齡維度,0.0,女,遷入,臺灣省,4
109,12,27,雙溪區,,,,無年齡維度,0.0,男,遷入,臺灣省,5
109,12,27,雙溪區,,,,無年齡維度,0.0,女,遷入,高雄市,0
109,12,27,雙溪區,,,,無年齡維度,0.0,男,遷入,高雄市,0
109,12,27,雙溪區,,,,無年齡維度,0.0,女,遷出,migrants,7
109,12,27,雙溪區,,,,無年齡維度,0.0,男,遷出,migrants,6
109,12,27,雙溪區,,,,無年齡維度,0.0,女,遷出,other,0
109,12,27,雙溪區,,,,無年齡維度,0.0,男,遷出,other,0
109,12,27,雙溪區,,,,無年齡維度,0.0,女,遷出,其他縣市,0
109,12,27,雙溪區,,,,無年齡維度,0.0,男,遷出,其他縣市,0
109,12,27,雙溪區,,,,無年齡維度,0.0,女,遷出,其他鄉鎮,15
109,12,27,雙溪區,,,,無年齡維度,0.0,男,遷出,其他鄉鎮,8
109,12,27,雙溪區,,,,無年齡維度,0.0,女,遷出,合計,34
109,12,27,雙溪區,,,,無年齡維度,0.0,男,遷出,合計,20
109,12,27,雙溪區,,,,無年齡維度,0.0,女,遷出,國外,0
109,12,27,雙溪區,,,,無年齡維度,0.0,男,遷出,國外,0
109,12,27,雙溪區,,,,無年齡維度,0.0,女,遷出,新北市內,0
109,12,27,雙溪區,,,,無年齡維度,0.0,男,遷出,新北市內,0
109,12,27,雙溪區,,,,無年齡維度,0.0,女,遷出,桃園市,1
109,12,27,雙溪區,,,,無年齡維度,0.0,男,遷出,桃園市,0
109,12,27,雙溪區,,,,無年齡維度,0.0,女,遷出,福建省,0
109,12,27,雙溪區,,,,無年齡維度,0.0,男,遷出,福建省,0
109,12,27,雙溪區,,,,無年齡維度,0.0,女,遷出,臺中市,0
109,12,27,雙溪區,,,,無年齡維度,0.0,男,遷出,臺中市,0
109,12,27,雙溪區,,,,無年齡維度,0.0,女,遷出,臺北市,7
109,12,27,雙溪區,,,,無年齡維度,0.0,男,遷出,臺北市,4
109,12,27,雙溪區,,,,無年齡維度,0.0,女,遷出,臺南市,0
109,12,27,雙溪區,,,,無年齡維度,0.0,男,遷出,臺南市,1
109,12,27,雙溪區,,,,無年齡維度,0.0,女,遷出,臺灣省,9
109,12,27,雙溪區,,,,無年齡維度,0.0,男,遷出,臺灣省,6
109,12,27,雙溪區,,,,無年齡維度,0.0,女,遷出,高雄市,2
109,12,27,雙溪區,,,,無年齡維度,0.0,男,遷出,高雄市,1
