民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,人數
105,3,28,貢寮區,13歲,13,13,不相關,0.0,女,48
105,3,28,貢寮區,14歲,14,14,不相關,0.0,男,46
105,3,28,貢寮區,14歲,14,14,不相關,0.0,女,38
105,3,28,貢寮區,15歲,15,15,不相關,0.0,男,56
105,3,28,貢寮區,15歲,15,15,不相關,0.0,女,61
105,3,28,貢寮區,16歲,16,16,不相關,0.0,男,54
105,3,28,貢寮區,16歲,16,16,不相關,0.0,女,50
105,3,28,貢寮區,17歲,17,17,不相關,0.0,男,59
105,3,28,貢寮區,17歲,17,17,不相關,0.0,女,53
105,3,28,貢寮區,18歲,18,18,完全落入,1.0,男,81
105,3,28,貢寮區,18歲,18,18,完全落入,1.0,女,51
105,3,28,貢寮區,19歲,19,19,完全落入,1.0,男,64
105,3,28,貢寮區,19歲,19,19,完全落入,1.0,女,69
105,3,28,貢寮區,20歲,20,20,完全落入,1.0,男,73
105,3,28,貢寮區,20歲,20,20,完全落入,1.0,女,71
105,3,28,貢寮區,21歲,21,21,完全落入,1.0,男,82
105,3,28,貢寮區,21歲,21,21,完全落入,1.0,女,69
105,3,28,貢寮區,22歲,22,22,完全落入,1.0,男,69
105,3,28,貢寮區,22歲,22,22,完全落入,1.0,女,73
105,3,28,貢寮區,23歲,23,23,完全落入,1.0,男,66
105,3,28,貢寮區,23歲,23,23,完全落入,1.0,女,79
105,3,28,貢寮區,24歲,24,24,完全落入,1.0,男,74
105,3,28,貢寮區,24歲,24,24,完全落入,1.0,女,56
105,3,28,貢寮區,25歲,25,25,完全落入,1.0,男,61
105,3,28,貢寮區,25歲,25,25,完全落入,1.0,女,68
105,3,28,貢寮區,26歲,26,26,完全落入,1.0,男,71
105,3,28,貢寮區,26歲,26,26,完全落入,1.0,女,72
105,3,28,貢寮區,27歲,27,27,完全落入,1.0,男,76
105,3,28,貢寮區,27歲,27,27,完全落入,1.0,女,72
105,3,28,貢寮區,28歲,28,28,完全落入,1.0,男,64
105,3,28,貢寮區,28歲,28,28,完全落入,1.0,女,65
105,3,28,貢寮區,29歲,29,29,完全落入,1.0,男,66
105,3,28,貢寮區,29歲,29,29,完全落入,1.0,女,55
105,3,28,貢寮區,30歲,30,30,完全落入,1.0,男,85
105,3,28,貢寮區,30歲,30,30,完全落入,1.0,女,66
105,3,28,貢寮區,31歲,31,31,完全落入,1.0,男,73
105,3,28,貢寮區,31歲,31,31,完全落入,1.0,女,65
105,3,28,貢寮區,32歲,32,32,完全落入,1.0,男,74
105,3,28,貢寮區,32歲,32,32,完全落入,1.0,女,91
105,3,28,貢寮區,33歲,33,33,完全落入,1.0,男,76
105,3,28,貢寮區,33歲,33,33,完全落入,1.0,女,82
105,3,28,貢寮區,34歲,34,34,完全落入,1.0,男,75
105,3,28,貢寮區,34歲,34,34,完全落入,1.0,女,109
105,3,28,貢寮區,35歲,35,35,完全落入,1.0,男,94
105,3,28,貢寮區,35歲,35,35,完全落入,1.0,女,90
105,3,28,貢寮區,36歲,36,36,不相關,0.0,男,97
105,3,28,貢寮區,36歲,36,36,不相關,0.0,女,79
105,3,28,貢寮區,37歲,37,37,不相關,0.0,男,86
105,3,28,貢寮區,37歲,37,37,不相關,0.0,女,104
105,3,28,貢寮區,38歲,38,38,不相關,0.0,男,99
105,3,28,貢寮區,38歲,38,38,不相關,0.0,女,91
105,3,28,貢寮區,39歲,39,39,不相關,0.0,男,91
105,3,28,貢寮區,39歲,39,39,不相關,0.0,女,118
105,3,28,貢寮區,40歲,40,40,不相關,0.0,男,126
105,3,28,貢寮區,40歲,40,40,不相關,0.0,女,99
105,3,28,貢寮區,41歲,41,41,不相關,0.0,男,108
105,3,28,貢寮區,41歲,41,41,不相關,0.0,女,116
105,3,28,貢寮區,42歲,42,42,不相關,0.0,男,112
105,3,28,貢寮區,42歲,42,42,不相關,0.0,女,137
105,3,28,貢寮區,43歲,43,43,不相關,0.0,男,128
105,3,28,貢寮區,43歲,43,43,不相關,0.0,女,116
105,3,28,貢寮區,44歲,44,44,不相關,0.0,男,118
105,3,28,貢寮區,44歲,44,44,不相關,0.0,女,120
105,3,28,貢寮區,45歲,45,45,不相關,0.0,男,137
105,3,28,貢寮區,45歲,45,45,不相關,0.0,女,125
105,3,28,貢寮區,46歲,46,46,不相關,0.0,男,122
105,3,28,貢寮區,46歲,46,46,不相關,0.0,女,106
105,3,28,貢寮區,47歲,47,47,不相關,0.0,男,139
105,3,28,貢寮區,47歲,47,47,不相關,0.0,女,105
105,3,28,貢寮區,48歲,48,48,不相關,0.0,男,130
105,3,28,貢寮區,48歲,48,48,不相關,0.0,女,106
105,3,28,貢寮區,49歲,49,49,不相關,0.0,男,157
105,3,28,貢寮區,49歲,49,49,不相關,0.0,女,103
105,3,28,貢寮區,50歲,50,50,不相關,0.0,男,132
105,3,28,貢寮區,50歲,50,50,不相關,0.0,女,101
105,3,28,貢寮區,51歲,51,51,不相關,0.0,男,149
105,3,28,貢寮區,51歲,51,51,不相關,0.0,女,115
105,3,28,貢寮區,52歲,52,52,不相關,0.0,男,146
105,3,28,貢寮區,52歲,52,52,不相關,0.0,女,113
105,3,28,貢寮區,53歲,53,53,不相關,0.0,男,129
105,3,28,貢寮區,53歲,53,53,不相關,0.0,女,108
105,3,28,貢寮區,54歲,54,54,不相關,0.0,男,121
105,3,28,貢寮區,54歲,54,54,不相關,0.0,女,92
105,3,28,貢寮區,55歲,55,55,不相關,0.0,男,128
105,3,28,貢寮區,55歲,55,55,不相關,0.0,女,86
105,3,28,貢寮區,56歲,56,56,不相關,0.0,男,125
105,3,28,貢寮區,56歲,56,56,不相關,0.0,女,81
105,3,28,貢寮區,57歲,57,57,不相關,0.0,男,94
105,3,28,貢寮區,57歲,57,57,不相關,0.0,女,88
105,3,28,貢寮區,58歲,58,58,不相關,0.0,男,100
105,3,28,貢寮區,58歲,58,58,不相關,0.0,女,86
105,3,28,貢寮區,59歲,59,59,不相關,0.0,男,97
105,3,28,貢寮區,59歲,59,59,不相關,0.0,女,86
105,3,28,貢寮區,60歲,60,60,不相關,0.0,男,100
105,3,28,貢寮區,60歲,60,60,不相關,0.0,女,87
105,3,28,貢寮區,61歲,61,61,不相關,0.0,男,108
105,3,28,貢寮區,61歲,61,61,不相關,0.0,女,87
105,3,28,貢寮區,62歲,62,62,不相關,0.0,男,87
105,3,28,貢寮區,62歲,62,62,不相關,0.0,女,78
105,3,28,貢寮區,63歲,63,63,不相關,0.0,男,84
105,3,28,貢寮區,63歲,63,63,不相關,0.0,女,81
105,3,28,貢寮區,64歲,64,64,不相關,0.0,男,77
105,3,28,貢寮區,64歲,64,64,不相關,0.0,女,92
105,3,28,貢寮區,65歲,65,65,不相關,0.0,男,69
105,3,28,貢寮區,65歲,65,65,不相關,0.0,女,64
105,3,28,貢寮區,66歲,66,66,不相關,0.0,男,62
105,3,28,貢寮區,66歲,66,66,不相關,0.0,女,73
105,3,28,貢寮區,67歲,67,67,不相關,0.0,男,62
105,3,28,貢寮區,67歲,67,67,不相關,0.0,女,72
105,3,28,貢寮區,68歲,68,68,不相關,0.0,男,39
105,3,28,貢寮區,68歲,68,68,不相關,0.0,女,51
105,3,28,貢寮區,69歲,69,69,不相關,0.0,男,31
105,3,28,貢寮區,69歲,69,69,不相關,0.0,女,54
105,3,28,貢寮區,70歲,70,70,不相關,0.0,男,35
105,3,28,貢寮區,70歲,70,70,不相關,0.0,女,41
105,3,28,貢寮區,71歲,71,71,不相關,0.0,男,51
105,3,28,貢寮區,71歲,71,71,不相關,0.0,女,62
105,3,28,貢寮區,72歲,72,72,不相關,0.0,男,50
105,3,28,貢寮區,72歲,72,72,不相關,0.0,女,62
105,3,28,貢寮區,73歲,73,73,不相關,0.0,男,59
105,3,28,貢寮區,73歲,73,73,不相關,0.0,女,59
105,3,28,貢寮區,74歲,74,74,不相關,0.0,男,63
105,3,28,貢寮區,74歲,74,74,不相關,0.0,女,71
105,3,28,貢寮區,75歲,75,75,不相關,0.0,男,65
105,3,28,貢寮區,75歲,75,75,不相關,0.0,女,78
105,3,28,貢寮區,76歲,76,76,不相關,0.0,男,67
105,3,28,貢寮區,76歲,76,76,不相關,0.0,女,65
105,3,28,貢寮區,77歲,77,77,不相關,0.0,男,48
105,3,28,貢寮區,77歲,77,77,不相關,0.0,女,62
105,3,28,貢寮區,78歲,78,78,不相關,0.0,男,54
105,3,28,貢寮區,78歲,78,78,不相關,0.0,女,61
105,3,28,貢寮區,79歲,79,79,不相關,0.0,男,48
105,3,28,貢寮區,79歲,79,79,不相關,0.0,女,57
105,3,28,貢寮區,80歲,80,80,不相關,0.0,男,47
105,3,28,貢寮區,80歲,80,80,不相關,0.0,女,43
105,3,28,貢寮區,81歲,81,81,不相關,0.0,男,57
105,3,28,貢寮區,81歲,81,81,不相關,0.0,女,54
105,3,28,貢寮區,82歲,82,82,不相關,0.0,男,44
105,3,28,貢寮區,82歲,82,82,不相關,0.0,女,45
105,3,28,貢寮區,83歲,83,83,不相關,0.0,男,44
105,3,28,貢寮區,83歲,83,83,不相關,0.0,女,50
105,3,28,貢寮區,84歲,84,84,不相關,0.0,男,33
105,3,28,貢寮區,84歲,84,84,不相關,0.0,女,45
105,3,28,貢寮區,85歲,85,85,不相關,0.0,男,25
105,3,28,貢寮區,85歲,85,85,不相關,0.0,女,37
105,3,28,貢寮區,86歲,86,86,不相關,0.0,男,31
105,3,28,貢寮區,86歲,86,86,不相關,0.0,女,27
105,3,28,貢寮區,87歲,87,87,不相關,0.0,男,24
105,3,28,貢寮區,87歲,87,87,不相關,0.0,女,28
105,3,28,貢寮區,88歲,88,88,不相關,0.0,男,13
105,3,28,貢寮區,88歲,88,88,不相關,0.0,女,23
105,3,28,貢寮區,89歲,89,89,不相關,0.0,男,14
105,3,28,貢寮區,89歲,89,89,不相關,0.0,女,35
105,3,28,貢寮區,90歲,90,90,不相關,0.0,男,12
105,3,28,貢寮區,90歲,90,90,不相關,0.0,女,21
105,3,28,貢寮區,91歲,91,91,不相關,0.0,男,6
105,3,28,貢寮區,91歲,91,91,不相關,0.0,女,12
105,3,28,貢寮區,92歲,92,92,不相關,0.0,男,7
105,3,28,貢寮區,92歲,92,92,不相關,0.0,女,15
105,3,28,貢寮區,93歲,93,93,不相關,0.0,男,7
105,3,28,貢寮區,93歲,93,93,不相關,0.0,女,8
105,3,28,貢寮區,94歲,94,94,不相關,0.0,男,2
105,3,28,貢寮區,94歲,94,94,不相關,0.0,女,9
105,3,28,貢寮區,95歲,95,95,不相關,0.0,男,3
105,3,28,貢寮區,95歲,95,95,不相關,0.0,女,5
105,3,28,貢寮區,96歲,96,96,不相關,0.0,男,2
105,3,28,貢寮區,96歲,96,96,不相關,0.0,女,4
105,3,28,貢寮區,97歲,97,97,不相關,0.0,男,0
105,3,28,貢寮區,97歲,97,97,不相關,0.0,女,0
105,3,28,貢寮區,98歲,98,98,不相關,0.0,男,2
105,3,28,貢寮區,98歲,98,98,不相關,0.0,女,2
105,3,28,貢寮區,99歲,99,99,不相關,0.0,男,2
105,3,28,貢寮區,99歲,99,99,不相關,0.0,女,1
105,3,28,貢寮區,100歲以上,100,100,不相關,0.0,男,0
105,3,28,貢寮區,100歲以上,100,100,不相關,0.0,女,1
105,4,28,貢寮區,0歲,0,0,不相關,0.0,男,45
105,4,28,貢寮區,0歲,0,0,不相關,0.0,女,32
105,4,28,貢寮區,1歲,1,1,不相關,0.0,男,41
105,4,28,貢寮區,1歲,1,1,不相關,0.0,女,41
105,4,28,貢寮區,2歲,2,2,不相關,0.0,男,35
105,4,28,貢寮區,2歲,2,2,不相關,0.0,女,25
105,4,28,貢寮區,3歲,3,3,不相關,0.0,男,41
105,4,28,貢寮區,3歲,3,3,不相關,0.0,女,38
105,4,28,貢寮區,4歲,4,4,不相關,0.0,男,28
105,4,28,貢寮區,4歲,4,4,不相關,0.0,女,36
105,4,28,貢寮區,5歲,5,5,不相關,0.0,男,35
105,4,28,貢寮區,5歲,5,5,不相關,0.0,女,26
105,4,28,貢寮區,6歲,6,6,不相關,0.0,男,19
105,4,28,貢寮區,6歲,6,6,不相關,0.0,女,22
105,4,28,貢寮區,7歲,7,7,不相關,0.0,男,32
105,4,28,貢寮區,7歲,7,7,不相關,0.0,女,25
105,4,28,貢寮區,8歲,8,8,不相關,0.0,男,28
105,4,28,貢寮區,8歲,8,8,不相關,0.0,女,27
105,4,28,貢寮區,9歲,9,9,不相關,0.0,男,31
105,4,28,貢寮區,9歲,9,9,不相關,0.0,女,26
105,4,28,貢寮區,10歲,10,10,不相關,0.0,男,34
105,4,28,貢寮區,10歲,10,10,不相關,0.0,女,33
105,4,28,貢寮區,11歲,11,11,不相關,0.0,男,38
105,4,28,貢寮區,11歲,11,11,不相關,0.0,女,35
105,4,28,貢寮區,12歲,12,12,不相關,0.0,男,40
105,4,28,貢寮區,12歲,12,12,不相關,0.0,女,37
105,4,28,貢寮區,13歲,13,13,不相關,0.0,男,40
105,4,28,貢寮區,13歲,13,13,不相關,0.0,女,45
105,4,28,貢寮區,14歲,14,14,不相關,0.0,男,43
105,4,28,貢寮區,14歲,14,14,不相關,0.0,女,40
105,4,28,貢寮區,15歲,15,15,不相關,0.0,男,59
105,4,28,貢寮區,15歲,15,15,不相關,0.0,女,56
105,4,28,貢寮區,16歲,16,16,不相關,0.0,男,52
105,4,28,貢寮區,16歲,16,16,不相關,0.0,女,56
105,4,28,貢寮區,17歲,17,17,不相關,0.0,男,58
105,4,28,貢寮區,17歲,17,17,不相關,0.0,女,53
105,4,28,貢寮區,18歲,18,18,完全落入,1.0,男,83
105,4,28,貢寮區,18歲,18,18,完全落入,1.0,女,48
105,4,28,貢寮區,19歲,19,19,完全落入,1.0,男,66
105,4,28,貢寮區,19歲,19,19,完全落入,1.0,女,72
105,4,28,貢寮區,20歲,20,20,完全落入,1.0,男,67
105,4,28,貢寮區,20歲,20,20,完全落入,1.0,女,65
105,4,28,貢寮區,21歲,21,21,完全落入,1.0,男,85
105,4,28,貢寮區,21歲,21,21,完全落入,1.0,女,78
105,4,28,貢寮區,22歲,22,22,完全落入,1.0,男,70
105,4,28,貢寮區,22歲,22,22,完全落入,1.0,女,68
105,4,28,貢寮區,23歲,23,23,完全落入,1.0,男,66
105,4,28,貢寮區,23歲,23,23,完全落入,1.0,女,81
105,4,28,貢寮區,24歲,24,24,完全落入,1.0,男,72
105,4,28,貢寮區,24歲,24,24,完全落入,1.0,女,56
105,4,28,貢寮區,25歲,25,25,完全落入,1.0,男,65
105,4,28,貢寮區,25歲,25,25,完全落入,1.0,女,66
105,4,28,貢寮區,26歲,26,26,完全落入,1.0,男,71
105,4,28,貢寮區,26歲,26,26,完全落入,1.0,女,73
105,4,28,貢寮區,27歲,27,27,完全落入,1.0,男,78
105,4,28,貢寮區,27歲,27,27,完全落入,1.0,女,70
105,4,28,貢寮區,28歲,28,28,完全落入,1.0,男,62
105,4,28,貢寮區,28歲,28,28,完全落入,1.0,女,66
105,4,28,貢寮區,29歲,29,29,完全落入,1.0,男,65
105,4,28,貢寮區,29歲,29,29,完全落入,1.0,女,54
105,4,28,貢寮區,30歲,30,30,完全落入,1.0,男,88
105,4,28,貢寮區,30歲,30,30,完全落入,1.0,女,67
105,4,28,貢寮區,31歲,31,31,完全落入,1.0,男,69
105,4,28,貢寮區,31歲,31,31,完全落入,1.0,女,67
105,4,28,貢寮區,32歲,32,32,完全落入,1.0,男,76
105,4,28,貢寮區,32歲,32,32,完全落入,1.0,女,83
105,4,28,貢寮區,33歲,33,33,完全落入,1.0,男,75
105,4,28,貢寮區,33歲,33,33,完全落入,1.0,女,83
105,4,28,貢寮區,34歲,34,34,完全落入,1.0,男,76
105,4,28,貢寮區,34歲,34,34,完全落入,1.0,女,111
105,4,28,貢寮區,35歲,35,35,完全落入,1.0,男,89
105,4,28,貢寮區,35歲,35,35,完全落入,1.0,女,89
105,4,28,貢寮區,36歲,36,36,不相關,0.0,男,100
105,4,28,貢寮區,36歲,36,36,不相關,0.0,女,81
105,4,28,貢寮區,37歲,37,37,不相關,0.0,男,85
105,4,28,貢寮區,37歲,37,37,不相關,0.0,女,100
105,4,28,貢寮區,38歲,38,38,不相關,0.0,男,100
105,4,28,貢寮區,38歲,38,38,不相關,0.0,女,96
105,4,28,貢寮區,39歲,39,39,不相關,0.0,男,90
105,4,28,貢寮區,39歲,39,39,不相關,0.0,女,116
105,4,28,貢寮區,40歲,40,40,不相關,0.0,男,123
105,4,28,貢寮區,40歲,40,40,不相關,0.0,女,99
105,4,28,貢寮區,41歲,41,41,不相關,0.0,男,107
105,4,28,貢寮區,41歲,41,41,不相關,0.0,女,113
105,4,28,貢寮區,42歲,42,42,不相關,0.0,男,110
105,4,28,貢寮區,42歲,42,42,不相關,0.0,女,131
105,4,28,貢寮區,43歲,43,43,不相關,0.0,男,130
105,4,28,貢寮區,43歲,43,43,不相關,0.0,女,127
105,4,28,貢寮區,44歲,44,44,不相關,0.0,男,124
105,4,28,貢寮區,44歲,44,44,不相關,0.0,女,116
105,4,28,貢寮區,45歲,45,45,不相關,0.0,男,127
105,4,28,貢寮區,45歲,45,45,不相關,0.0,女,128
105,4,28,貢寮區,46歲,46,46,不相關,0.0,男,128
105,4,28,貢寮區,46歲,46,46,不相關,0.0,女,100
105,4,28,貢寮區,47歲,47,47,不相關,0.0,男,138
105,4,28,貢寮區,47歲,47,47,不相關,0.0,女,113
105,4,28,貢寮區,48歲,48,48,不相關,0.0,男,136
105,4,28,貢寮區,48歲,48,48,不相關,0.0,女,98
105,4,28,貢寮區,49歲,49,49,不相關,0.0,男,148
105,4,28,貢寮區,49歲,49,49,不相關,0.0,女,105
105,4,28,貢寮區,50歲,50,50,不相關,0.0,男,136
105,4,28,貢寮區,50歲,50,50,不相關,0.0,女,106
105,4,28,貢寮區,51歲,51,51,不相關,0.0,男,152
105,4,28,貢寮區,51歲,51,51,不相關,0.0,女,117
105,4,28,貢寮區,52歲,52,52,不相關,0.0,男,142
105,4,28,貢寮區,52歲,52,52,不相關,0.0,女,114
105,4,28,貢寮區,53歲,53,53,不相關,0.0,男,126
105,4,28,貢寮區,53歲,53,53,不相關,0.0,女,104
105,4,28,貢寮區,54歲,54,54,不相關,0.0,男,130
105,4,28,貢寮區,54歲,54,54,不相關,0.0,女,92
105,4,28,貢寮區,55歲,55,55,不相關,0.0,男,117
105,4,28,貢寮區,55歲,55,55,不相關,0.0,女,89
105,4,28,貢寮區,56歲,56,56,不相關,0.0,男,125
105,4,28,貢寮區,56歲,56,56,不相關,0.0,女,79
105,4,28,貢寮區,57歲,57,57,不相關,0.0,男,103
105,4,28,貢寮區,57歲,57,57,不相關,0.0,女,87
105,4,28,貢寮區,58歲,58,58,不相關,0.0,男,98
105,4,28,貢寮區,58歲,58,58,不相關,0.0,女,87
105,4,28,貢寮區,59歲,59,59,不相關,0.0,男,98
105,4,28,貢寮區,59歲,59,59,不相關,0.0,女,83
105,4,28,貢寮區,60歲,60,60,不相關,0.0,男,96
105,4,28,貢寮區,60歲,60,60,不相關,0.0,女,90
105,4,28,貢寮區,61歲,61,61,不相關,0.0,男,115
105,4,28,貢寮區,61歲,61,61,不相關,0.0,女,89
105,4,28,貢寮區,62歲,62,62,不相關,0.0,男,82
105,4,28,貢寮區,62歲,62,62,不相關,0.0,女,78
105,4,28,貢寮區,63歲,63,63,不相關,0.0,男,88
105,4,28,貢寮區,63歲,63,63,不相關,0.0,女,80
105,4,28,貢寮區,64歲,64,64,不相關,0.0,男,77
105,4,28,貢寮區,64歲,64,64,不相關,0.0,女,94
105,4,28,貢寮區,65歲,65,65,不相關,0.0,男,65
105,4,28,貢寮區,65歲,65,65,不相關,0.0,女,55
105,4,28,貢寮區,66歲,66,66,不相關,0.0,男,57
105,4,28,貢寮區,66歲,66,66,不相關,0.0,女,72
105,4,28,貢寮區,67歲,67,67,不相關,0.0,男,72
105,4,28,貢寮區,67歲,67,67,不相關,0.0,女,82
105,4,28,貢寮區,68歲,68,68,不相關,0.0,男,35
105,4,28,貢寮區,68歲,68,68,不相關,0.0,女,53
105,4,28,貢寮區,69歲,69,69,不相關,0.0,男,38
105,4,28,貢寮區,69歲,69,69,不相關,0.0,女,51
105,4,28,貢寮區,70歲,70,70,不相關,0.0,男,32
105,4,28,貢寮區,70歲,70,70,不相關,0.0,女,44
105,4,28,貢寮區,71歲,71,71,不相關,0.0,男,53
105,4,28,貢寮區,71歲,71,71,不相關,0.0,女,61
105,4,28,貢寮區,72歲,72,72,不相關,0.0,男,43
105,4,28,貢寮區,72歲,72,72,不相關,0.0,女,62
105,4,28,貢寮區,73歲,73,73,不相關,0.0,男,64
105,4,28,貢寮區,73歲,73,73,不相關,0.0,女,60
105,4,28,貢寮區,74歲,74,74,不相關,0.0,男,60
105,4,28,貢寮區,74歲,74,74,不相關,0.0,女,66
105,4,28,貢寮區,75歲,75,75,不相關,0.0,男,61
105,4,28,貢寮區,75歲,75,75,不相關,0.0,女,71
105,4,28,貢寮區,76歲,76,76,不相關,0.0,男,68
105,4,28,貢寮區,76歲,76,76,不相關,0.0,女,70
105,4,28,貢寮區,77歲,77,77,不相關,0.0,男,53
105,4,28,貢寮區,77歲,77,77,不相關,0.0,女,66
105,4,28,貢寮區,78歲,78,78,不相關,0.0,男,52
105,4,28,貢寮區,78歲,78,78,不相關,0.0,女,59
105,4,28,貢寮區,79歲,79,79,不相關,0.0,男,47
105,4,28,貢寮區,79歲,79,79,不相關,0.0,女,62
105,4,28,貢寮區,80歲,80,80,不相關,0.0,男,46
105,4,28,貢寮區,80歲,80,80,不相關,0.0,女,41
105,4,28,貢寮區,81歲,81,81,不相關,0.0,男,56
105,4,28,貢寮區,81歲,81,81,不相關,0.0,女,50
105,4,28,貢寮區,82歲,82,82,不相關,0.0,男,48
105,4,28,貢寮區,82歲,82,82,不相關,0.0,女,45
105,4,28,貢寮區,83歲,83,83,不相關,0.0,男,43
105,4,28,貢寮區,83歲,83,83,不相關,0.0,女,53
105,4,28,貢寮區,84歲,84,84,不相關,0.0,男,31
105,4,28,貢寮區,84歲,84,84,不相關,0.0,女,47
105,4,28,貢寮區,85歲,85,85,不相關,0.0,男,24
105,4,28,貢寮區,85歲,85,85,不相關,0.0,女,38
105,4,28,貢寮區,86歲,86,86,不相關,0.0,男,31
105,4,28,貢寮區,86歲,86,86,不相關,0.0,女,27
105,4,28,貢寮區,87歲,87,87,不相關,0.0,男,26
105,4,28,貢寮區,87歲,87,87,不相關,0.0,女,27
105,4,28,貢寮區,88歲,88,88,不相關,0.0,男,15
105,4,28,貢寮區,88歲,88,88,不相關,0.0,女,21
105,4,28,貢寮區,89歲,89,89,不相關,0.0,男,13
105,4,28,貢寮區,89歲,89,89,不相關,0.0,女,34
105,4,28,貢寮區,90歲,90,90,不相關,0.0,男,12
105,4,28,貢寮區,90歲,90,90,不相關,0.0,女,24
105,4,28,貢寮區,91歲,91,91,不相關,0.0,男,6
105,4,28,貢寮區,91歲,91,91,不相關,0.0,女,12
105,4,28,貢寮區,92歲,92,92,不相關,0.0,男,7
105,4,28,貢寮區,92歲,92,92,不相關,0.0,女,16
105,4,28,貢寮區,93歲,93,93,不相關,0.0,男,6
105,4,28,貢寮區,93歲,93,93,不相關,0.0,女,8
105,4,28,貢寮區,94歲,94,94,不相關,0.0,男,3
105,4,28,貢寮區,94歲,94,94,不相關,0.0,女,9
105,4,28,貢寮區,95歲,95,95,不相關,0.0,男,3
105,4,28,貢寮區,95歲,95,95,不相關,0.0,女,5
105,4,28,貢寮區,96歲,96,96,不相關,0.0,男,2
105,4,28,貢寮區,96歲,96,96,不相關,0.0,女,4
105,4,28,貢寮區,97歲,97,97,不相關,0.0,男,0
105,4,28,貢寮區,97歲,97,97,不相關,0.0,女,0
105,4,28,貢寮區,98歲,98,98,不相關,0.0,男,2
105,4,28,貢寮區,98歲,98,98,不相關,0.0,女,2
105,4,28,貢寮區,99歲,99,99,不相關,0.0,男,2
105,4,28,貢寮區,99歲,99,99,不相關,0.0,女,1
105,4,28,貢寮區,100歲以上,100,100,不相關,0.0,男,0
105,4,28,貢寮區,100歲以上,100,100,不相關,0.0,女,1
105,5,28,貢寮區,0歲,0,0,不相關,0.0,男,43
105,5,28,貢寮區,0歲,0,0,不相關,0.0,女,38
105,5,28,貢寮區,1歲,1,1,不相關,0.0,男,38
105,5,28,貢寮區,1歲,1,1,不相關,0.0,女,40
105,5,28,貢寮區,2歲,2,2,不相關,0.0,男,43
105,5,28,貢寮區,2歲,2,2,不相關,0.0,女,25
105,5,28,貢寮區,3歲,3,3,不相關,0.0,男,40
105,5,28,貢寮區,3歲,3,3,不相關,0.0,女,35
105,5,28,貢寮區,4歲,4,4,不相關,0.0,男,27
105,5,28,貢寮區,4歲,4,4,不相關,0.0,女,35
105,5,28,貢寮區,5歲,5,5,不相關,0.0,男,34
105,5,28,貢寮區,5歲,5,5,不相關,0.0,女,26
105,5,28,貢寮區,6歲,6,6,不相關,0.0,男,16
105,5,28,貢寮區,6歲,6,6,不相關,0.0,女,22
105,5,28,貢寮區,7歲,7,7,不相關,0.0,男,35
105,5,28,貢寮區,7歲,7,7,不相關,0.0,女,20
105,5,28,貢寮區,8歲,8,8,不相關,0.0,男,24
105,5,28,貢寮區,8歲,8,8,不相關,0.0,女,28
105,5,28,貢寮區,9歲,9,9,不相關,0.0,男,33
105,5,28,貢寮區,9歲,9,9,不相關,0.0,女,30
105,5,28,貢寮區,10歲,10,10,不相關,0.0,男,34
105,5,28,貢寮區,10歲,10,10,不相關,0.0,女,29
105,5,28,貢寮區,11歲,11,11,不相關,0.0,男,39
105,5,28,貢寮區,11歲,11,11,不相關,0.0,女,37
105,5,28,貢寮區,12歲,12,12,不相關,0.0,男,38
105,5,28,貢寮區,12歲,12,12,不相關,0.0,女,36
105,5,28,貢寮區,13歲,13,13,不相關,0.0,男,40
105,5,28,貢寮區,13歲,13,13,不相關,0.0,女,46
105,5,28,貢寮區,14歲,14,14,不相關,0.0,男,41
105,5,28,貢寮區,14歲,14,14,不相關,0.0,女,38
105,5,28,貢寮區,15歲,15,15,不相關,0.0,男,56
105,5,28,貢寮區,15歲,15,15,不相關,0.0,女,54
105,5,28,貢寮區,16歲,16,16,不相關,0.0,男,55
105,5,28,貢寮區,16歲,16,16,不相關,0.0,女,57
105,5,28,貢寮區,17歲,17,17,不相關,0.0,男,59
105,5,28,貢寮區,17歲,17,17,不相關,0.0,女,51
105,5,28,貢寮區,18歲,18,18,完全落入,1.0,男,78
105,5,28,貢寮區,18歲,18,18,完全落入,1.0,女,50
105,5,28,貢寮區,19歲,19,19,完全落入,1.0,男,69
105,5,28,貢寮區,19歲,19,19,完全落入,1.0,女,68
105,5,28,貢寮區,20歲,20,20,完全落入,1.0,男,68
105,5,28,貢寮區,20歲,20,20,完全落入,1.0,女,68
105,5,28,貢寮區,21歲,21,21,完全落入,1.0,男,83
105,5,28,貢寮區,21歲,21,21,完全落入,1.0,女,71
105,5,28,貢寮區,22歲,22,22,完全落入,1.0,男,69
105,5,28,貢寮區,22歲,22,22,完全落入,1.0,女,77
105,5,28,貢寮區,23歲,23,23,完全落入,1.0,男,72
105,5,28,貢寮區,23歲,23,23,完全落入,1.0,女,79
105,5,28,貢寮區,24歲,24,24,完全落入,1.0,男,70
105,5,28,貢寮區,24歲,24,24,完全落入,1.0,女,60
105,5,28,貢寮區,25歲,25,25,完全落入,1.0,男,64
105,5,28,貢寮區,25歲,25,25,完全落入,1.0,女,61
105,5,28,貢寮區,26歲,26,26,完全落入,1.0,男,70
105,5,28,貢寮區,26歲,26,26,完全落入,1.0,女,72
105,5,28,貢寮區,27歲,27,27,完全落入,1.0,男,75
